Taste,Aluminum,Fluoride,Fizziness
112.328,103.302,101.578,95.838
104.532,107.151,98.632,102.385
89.179,111.062,102.675,98.889
100.288,109.542,107.299,103.732
91.714,98.515,111.497,96.122
105.368,94.222,100.449,102.541
91.419,103.862,103.822,100.186
97.233,101.676,115.220,103.345
90.533,101.429,105.050,98.173
92.211,103.740,98.733,100.152
96.245,99.032,101.880,93.868
99.156,102.298,98.224,100.026
92.549,98.122,92.652,102.910
101.779,91.179,101.111,104.591
98.512,89.997,98.194,100.545
103.893,103.439,100.378,98.374
93.290,108.164,97.625,96.966
96.929,105.123,90.795,95.459
93.852,98.489,105.796,89.423
100.430,99.884,100.752,101.915
91.530,107.868,106.308,98.560
85.236,96.563,101.366,94.108
90.932,94.517,94.705,101.477
99.873,102.307,90.003,104.035
98.722,100.536,99.878,98.807
104.073,105.959,103.882,104.671
91.565,93.456,108.793,95.475
99.301,96.719,99.985,103.706
96.273,110.844,96.056,97.936
91.479,108.174,102.981,99.539
97.004,99.476,109.007,108.321
95.831,97.323,102.071,100.585
94.315,93.892,104.573,96.554
91.897,102.902,99.447,99.746
95.951,98.230,101.925,102.596
92.410,96.533,94.378,97.380
85.823,95.407,91.059,102.263
90.373,102.948,89.643,95.936
96.116,96.532,99.009,93.767
94.609,99.963,104.587,112.696
87.873,106.158,89.716,92.214
97.861,92.976,113.842,102.596
93.005,87.847,100.410,102.729
98.998,100.262,96.949,101.611
93.603,99.847,97.886,99.675
98.456,108.316,99.184,107.112
93.077,102.395,98.749,96.922
94.549,106.467,95.158,94.110
94.694,105.029,100.124,103.759
98.205,100.283,97.026,103.471
97.648,105.420,96.122,100.435
92.183,102.811,99.059,98.301
87.084,97.747,88.364,105.733
91.144,110.846,104.838,102.264
91.577,102.487,103.818,99.872
95.324,100.169,89.408,102.449
94.539,105.310,97.471,88.991
91.421,101.238,94.930,103.334
82.700,103.990,100.876,91.017
98.071,101.299,94.655,101.598
89.947,102.959,96.833,106.026
83.456,96.618,91.218,112.316
99.586,96.058,109.598,96.355
98.444,105.169,94.529,101.850
92.149,103.499,99.132,86.605
100.320,101.143,108.558,106.949
98.472,98.736,101.888,93.060
93.092,100.482,106.506,101.163
91.442,87.671,92.622,104.676
93.532,95.819,100.605,95.628
98.186,103.607,95.677,100.537
98.331,100.714,97.696,100.938
100.263,95.621,99.375,97.540
98.124,103.643,106.235,93.760
93.006,99.766,105.253,103.656
89.922,97.453,93.733,101.140
88.821,100.768,95.825,106.156
92.169,99.197,100.917,95.699
94.254,92.670,95.138,94.560
84.292,99.543,102.676,107.235
103.948,93.453,99.071,99.089
89.963,97.623,100.893,99.476
83.521,101.185,99.045,104.333
99.057,97.796,102.858,101.483
90.438,105.224,106.134,98.647
91.971,99.854,101.472,100.304
99.688,97.724,99.772,98.439
